time,area0,area1,num0,num1
45,10669,2545090,12,12
46,10587,11414085,12,12
47,10500,26688402,12,12
48,9593,30426768,12,12
49,10182,35523522,12,12
50,10272,34374610,12,12
51,10384,35797060,12,12
52,21080,29314383,12,12
53,143787,26671197,12,12
54,1110817,34525925,12,12
55,4859404,34792231,12,12
56,16201372,25510294,12,12
57,22309479,10910349,12,12
58,5134647,2597600,12,12
59,5190036,439886,12,12
0,7754554,58932,12,12
1,4932469,14115,12,12
2,75547,25780,12,12
3,11269,272278,12,12
4,10568,1589977,12,12
5,10508,2633054,12,12
6,10605,11666580,12,12
7,10639,28120018,12,12
8,10531,24943365,12,12
9,10317,25029340,12,12
10,10433,32846994,12,12
11,10557,31545729,12,12
12,19887,27726847,12,12
13,192695,23200639,12,12
14,1695166,24648891,12,12
15,2484121,16927249,12,12
16,9209742,8612341,12,12
17,15932984,3370607,12,12
18,9470035,1304520,12,12
19,8714440,217137,12,12
20,9465265,34460,12,12
21,5217274,11369,12,12
22,65671,25997,12,12
23,10579,277391,12,12
24,10489,1866347,12,12
25,10635,2497097,12,12
26,10549,11328833,12,12
27,10647,29475516,12,12
28,10553,36733410,12,12
29,9960,34026986,12,12
30,10144,34414288,12,12
31,10339,32186374,12,12
32,16261,30620826,12,12
33,74243,32230993,12,12
34,1024630,32552750,12,12
35,2225688,37790621,12,12
36,17426234,24950682,12,12
37,29239148,9640972,12,12
38,11761615,2610734,12,12
39,5820195,428915,12,12
40,6611762,49223,12,12
41,3333854,11783,12,12
42,18739,25854,12,12
43,10575,262846,12,12
44,10635,389326,12,12
45,10587,2723809,12,12
46,10545,11845039,12,12
47,10395,23851358,12,12
48,10384,9226849,12,12
49,10178,24328611,12,12
50,10260,27067215,12,12
51,10339,19258153,12,12
52,15957,14272386,12,12
53,115384,15981321,12,12
54,932339,18705957,12,12
55,4802224,7735762,12,12
56,16936628,6509058,12,12
57,10671116,8791759,12,12
58,23176525,1972813,12,12
59,26622880,299632,12,12
0,33008956,76635,12,12
1,31299657,8088,12,12
2,1644960,22146,12,12
3,10662,255227,12,12
4,10635,404008,12,12
